Starting to parse extensions...
  [SUCCESS] Found 'instance' extension 'VK_EXT_surface_maintenance1'!
  [SUCCESS] Found 'device' extension 'VK_EXT_swapchain_maintenance1'!
  [SUCCESS] Found 'device' extension 'VK_EXT_device_memory_report'!
  [SUCCESS] Found 'device' extension 'VK_EXT_custom_border_color'!
  [SUCCESS] Found 'device' extension 'VK_KHR_pipeline_library'!
  [SUCCESS] Found 'device' extension 'VK_KHR_maintenance7'!
  [SUCCESS] Found 'device' extension 'VK_KHR_present_id'!
  [SUCCESS] Found 'device' extension 'VK_EXT_graphics_pipeline_library'!
  [SUCCESS] Found 'device' extension 'VK_KHR_fragment_shader_barycentric'!
  [SUCCESS] Found 'device' extension 'VK_KHR_shader_subgroup_uniform_control_flow'!
  [SUCCESS] Found 'device' extension 'VK_EXT_mesh_shader'!
  [SUCCESS] Found 'device' extension 'VK_EXT_fragment_density_map2'!
  [SUCCESS] Found 'device' extension 'VK_KHR_workgroup_memory_explicit_layout'!
  [SUCCESS] Found 'device' extension 'VK_EXT_image_compression_control'!
  [SUCCESS] Found 'device' extension 'VK_EXT_attachment_feedback_loop_layout'!
  [SUCCESS] Found 'device' extension 'VK_EXT_device_fault'!
  [SUCCESS] Found 'device' extension 'VK_EXT_rgba10x6_formats'!
  [SUCCESS] Found 'device' extension 'VK_EXT_device_address_binding_report'!
  [SUCCESS] Found 'device' extension 'VK_EXT_depth_clip_control'!
  [SUCCESS] Found 'device' extension 'VK_EXT_primitive_topology_list_restart'!
  [SUCCESS] Found 'device' extension 'VK_EXT_present_mode_fifo_latest_ready'!
  [SUCCESS] Found 'device' extension 'VK_EXT_pipeline_properties'!
  [SUCCESS] Found 'device' extension 'VK_EXT_frame_boundary'!
  [SUCCESS] Found 'device' extension 'VK_EXT_color_write_enable'!
  [SUCCESS] Found 'device' extension 'VK_EXT_primitives_generated_query'!
  [SUCCESS] Found 'device' extension 'VK_KHR_ray_tracing_maintenance1'!
  [SUCCESS] Found 'device' extension 'VK_EXT_multi_draw'!
  [SUCCESS] Found 'device' extension 'VK_EXT_image_2d_view_of_3d'!
  [SUCCESS] Found 'device' extension 'VK_EXT_image_sliced_view_of_3d'!
  [SUCCESS] Found 'device' extension 'VK_KHR_shader_maximal_reconvergence'!
  [SUCCESS] Found 'device' extension 'VK_EXT_image_compression_control_swapchain'!
  [SUCCESS] Found 'device' extension 'VK_EXT_nested_command_buffer'!
  [SUCCESS] Found 'device' extension 'VK_EXT_external_memory_acquire_unmodified'!
  [SUCCESS] Found 'device' extension 'VK_EXT_extended_dynamic_state3'!
  [SUCCESS] Found 'device' extension 'VK_EXT_subpass_merge_feedback'!
  [SUCCESS] Found 'device' extension 'VK_EXT_legacy_dithering'!
  [SUCCESS] Found 'device' extension 'VK_KHR_present_wait2'!
  [SUCCESS] Found 'device' extension 'VK_KHR_ray_tracing_position_fetch'!
  [SUCCESS] Found 'device' extension 'VK_EXT_mutable_descriptor_type'!
  [SUCCESS] Found 'device' extension 'VK_EXT_legacy_vertex_attributes'!
  [SUCCESS] Found 'instance' extension 'VK_EXT_layer_settings'!
  [SUCCESS] Found 'device' extension 'VK_EXT_pipeline_library_group_handles'!
  [SUCCESS] Found 'device' extension 'VK_KHR_cooperative_matrix'!
    Skipped extension 'VK_KHR_video_decode_av1' because Vulkan 1.2 does not have extension 'VK_KHR_video_decode_queue'!
    Skipped extension 'VK_KHR_video_encode_av1' because Vulkan 1.2 does not have extension 'VK_KHR_video_encode_queue'!
    Skipped extension 'VK_KHR_video_decode_vp9' because Vulkan 1.2 does not have extension 'VK_KHR_video_decode_queue'!
  [SUCCESS] Found 'device' extension 'VK_EXT_attachment_feedback_loop_dynamic_state'!
  [SUCCESS] Found 'device' extension 'VK_KHR_unified_image_layouts'!
  [SUCCESS] Found 'device' extension 'VK_KHR_calibrated_timestamps'!
  [SUCCESS] Found 'device' extension 'VK_EXT_shader_float8'!
  [SUCCESS] Found 'device' extension 'VK_KHR_maintenance8'!
  [SUCCESS] Found 'device' extension 'VK_EXT_depth_clamp_control'!
  [SUCCESS] Found 'device' extension 'VK_KHR_maintenance9'!
  [SUCCESS] Found 'device' extension 'VK_KHR_depth_clamp_zero_one'!
  [SUCCESS] Found 'device' extension 'VK_EXT_zero_initialize_device_memory'!
[SUCCESS] Found and saved '160' device extensions to 'C:\Users\Laser\Desktop\test 1\github\xml_parser\parser_out\device_extensions.txt'!
[SUCCESS] Found and saved '24' instance extensions to 'C:\Users\Laser\Desktop\test 1\github\xml_parser\parser_out\instance_extensions.txt'!
[SUCCESS] Parsed all extensions!
Starting to parse layers...
  [SUCCESS] Found instance layer 'VK_LAYER_LUNARG_api_dump'!
  [SUCCESS] Found instance layer 'VK_LAYER_LUNARG_crash_diagnostic'!
  [SUCCESS] Found instance layer 'VK_LAYER_LUNARG_gfxreconstruct'!
  [SUCCESS] Found instance layer 'VK_LAYER_KHRONOS_profiles'!
  [SUCCESS] Found instance layer 'VK_LAYER_KHRONOS_shader_object'!
  [SUCCESS] Found instance layer 'VK_LAYER_KHRONOS_synchronization2'!
  [SUCCESS] Found instance layer 'VK_LAYER_KHRONOS_validation'!
  [SUCCESS] Found instance layer 'VK_LAYER_LUNARG_monitor'!
  [SUCCESS] Found instance layer 'VK_LAYER_LUNARG_screenshot'!
[SUCCESS] Found and saved '9' instance layers to 'C:\Users\Laser\Desktop\test 1\github\xml_parser\parser_out\instance_layers.txt'!
[SUCCESS] Parsed all layers!
